Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;875.410828;723.922913;33.075829;1101.726807;813.497253;191.77298;1153.075806;765.553589;374.077698;954.255371;774.211853;59.619461;;;
2;875.410828;723.922913;33.075829;1101.626465;813.485596;191.801086;1153.213745;765.59375;374.107513;954.162476;774.178223;59.606091;;;
3;875.375305;723.895691;33.085003;1101.673828;813.507263;191.757355;1153.184448;765.648987;373.977692;954.254944;774.088013;59.136009;821.01593;780.322815;33.859154
4;875.607422;723.993103;32.965672;1101.739502;813.563965;191.688049;1153.166626;765.720764;373.953979;954.347778;774.143433;58.868618;820.923035;780.486023;33.919731
5;875.54657;723.96991;32.979561;1101.767212;813.613159;191.684967;1153.136353;765.834106;373.917542;954.364807;774.237671;59.328533;820.937439;780.379883;33.933422
6;875.367249;723.889832;33.078701;1101.701172;813.644714;191.621613;1153.227783;765.855896;373.914642;954.199036;774.200256;59.614944;820.937744;780.36554;33.888649
7;875.378357;723.809265;33.108379;1101.707642;813.745422;191.556641;1153.320679;765.913208;373.873077;954.177673;774.084839;59.15572;821.000427;780.327209;33.865211
8;875.416809;723.820679;33.103123;1101.781982;813.673645;191.53978;1153.292603;765.972778;373.813873;954.269653;774.100403;59.446926;820.972595;780.363342;33.85004
9;875.430908;723.866455;33.055744;1101.843384;813.678223;191.509171;1153.279907;766.032227;373.810913;954.232971;774.161194;59.607914;821.021484;780.324219;33.851845
10;875.603699;724.007568;32.970184;1102.377686;813.496887;191.182556;1153.305542;766.096863;373.721863;954.218933;774.007996;59.085659;821.048096;780.308167;33.838707
11;875.533752;723.949585;32.933697;1102.637207;813.484863;190.835297;1153.330688;766.131958;373.626862;954.313354;774.186768;59.392071;820.976746;780.36322;33.844742
12;875.595947;723.935181;32.950344;1102.673218;813.535461;190.696732;1153.395386;766.143616;373.540314;954.280273;774.207275;59.553902;821.010742;780.327637;33.861221
13;875.651855;723.926819;32.943378;1102.618286;813.558044;190.735764;1153.38208;766.226196;373.5271;954.261292;774.165161;59.589382;820.986511;780.354675;33.848335
14;875.491882;723.920654;33.027119;1102.541748;813.68512;190.71846;1153.423828;766.21698;373.435852;954.314697;774.089661;59.085686;820.987183;780.339417;33.87241
15;875.475708;723.919983;33.037472;1102.154663;813.978455;190.862015;1153.437988;766.250488;373.314514;954.386963;774.191284;59.346371;821.0015565;780.3311160000001;33.865781999999996
16;875.423462;723.796143;33.063591;1102.406494;813.792175;190.910995;1153.405884;766.320435;373.118835;954.315552;774.183594;59.60257;821.01593;780.322815;33.859154
17;875.579163;723.976257;32.97958;1102.123535;814.011658;190.818542;1153.413086;766.336975;373.076996;954.263916;774.084839;59.175018;820.871277;780.485168;33.915337
18;875.524963;723.957336;32.979782;1102.546997;813.902893;190.784164;1153.462524;766.33728;372.926971;954.30127;774.284241;59.493156;820.790222;780.523804;33.918163
19;875.595337;723.997314;32.907959;1102.799805;814.01532;190.286896;1153.474243;766.480408;372.745026;954.264099;774.315491;59.923996;820.793274;780.511719;33.90509
20;875.677856;724.027405;32.849777;1103.035278;814.25293;190.119354;1153.420288;766.465576;372.756897;954.119019;774.274536;60.132294;820.815552;780.50177;33.886375
21;875.634827;724.057861;32.914349;1103.287231;814.434326;190.188248;1153.508911;766.530884;372.518158;954.099121;774.473999;60.318764;820.774292;780.613647;33.930328
22;875.445557;723.955811;33.040573;1103.515625;814.753052;190.2724;1153.605347;766.646851;372.408966;953.928955;774.440308;60.480373;820.730164;780.666321;33.945816
23;875.536987;724.001038;33.018639;1103.962646;815.849304;190.038116;1153.604004;766.769409;372.284058;953.790527;774.490234;60.797527;820.729187;780.647217;33.976994
24;875.344055;723.900757;33.083851;1104.331543;816.421143;189.914185;1153.680298;766.775024;372.090088;953.691528;774.504944;61.131771;820.697815;780.736572;33.959583
25;875.279724;723.794434;33.194138;1104.685425;816.774292;189.857803;1153.829102;766.911133;371.958344;953.599731;774.583862;61.332195;820.626343;780.789063;33.993782
26;875.281372;723.764832;33.193153;1104.850586;817.030334;189.789337;1153.954346;767.042114;371.786743;953.675293;774.579285;61.585571;820.587646;780.908569;34.021915
27;875.422607;723.666321;33.185329;1104.910645;817.256592;189.723694;1154.069092;767.082214;371.550537;953.69751;774.662109;61.914879;820.551453;780.969971;34.082222
28;875.370361;723.520874;33.245201;1105.11499;817.564209;189.637283;1154.262207;767.175598;371.480927;953.784302;774.738342;62.155952;820.578003;781.00885;34.23473
29;875.371643;723.458313;33.334122;1105.581177;817.904663;189.489487;1154.2948;767.235168;371.361176;953.842834;774.836548;62.306568;820.547302;781.025391;34.299225
30;875.443787;723.500732;33.567486;1105.897339;818.010498;189.277145;1154.358521;767.303284;371.267639;953.941895;774.952698;62.858479;820.580078;781.013733;34.399765
31;875.45697;723.375061;33.838181;1106.200806;818.103271;189.109894;1154.393677;767.304688;371.245148;953.907532;774.932617;63.102341;820.3172606666666;780.877482;35.435665
32;875.498474;722.986511;34.403625;1106.392822;818.138245;189.028244;1154.466553;767.262024;371.197052;953.946838;774.884644;63.273315;820.0544433333333;780.741231;36.471565000000005
33;875.60083;722.523193;35.155193;1106.572144;817.825378;188.844101;1154.555542;767.330017;371.184448;953.999756;774.859436;63.464062;819.791626;780.60498;37.507465
34;875.663452;721.933472;35.915081;1106.989014;817.79834;188.796219;1154.592651;767.310852;371.062225;954.053711;774.875244;64.094582;820.267151;780.505981;38.728737
35;875.799805;721.095581;36.998672;1107.216431;817.756348;188.820587;1154.670776;767.392761;371.092957;953.973633;774.913879;64.753265;820.146301;780.346619;40.616734
